Name,pop_1995,pop_2000,pop_2005,pop_2010,pop_2015
Ageo,206090,212947,220232,223926,225196
Akashi,287606,293117,291027,290959,293409
Akita,331597,336646,333109,323600,315814
Amagasaki,488586,466187,462647,453748,452563
Anj?,149464,158824,170250,178691,184140
Aomori,314917,318732,311386,299520,287648
Asahikawa,360568,359536,355004,347095,339605
Atsugi,208627,217369,222403,224420,225714
Chiba,856878,887164,924319,961749,971882
Chigasaki,212874,220809,228420,235081,239348
Ch?fu,198574,204759,216119,223593,229061
Fuch?,216211,226769,245623,255506,260274
Fuji,246985,251559,253297,254027,248399
Fujisawa,368651,379185,396014,409657,423894
Fukui,272970,269557,269144,266796,265904
Fukuoka,1284836,1341470,1401279,1463743,1538681
Fukushima,292696,297894,297357,292590,294247
Fukuyama,453791,456908,459087,461357,464811
Funabashi,540817,550074,569835,609040,622890
Gifu,418574,415085,413367,413136,406735
Hachinohe,249358,248608,244700,237615,231257
Hachi?ji,503363,536046,560012,580053,577513
Hadano,164722,168142,168317,170145,167378
Hakodate,318308,305311,294264,279127,265979
Hamamatsu,766832,786306,804032,800866,797980
Higashihiroshima,165153,175346,184430,190135,192907
Higashi?saka,517232,515094,513821,509533,502784
Himeji,527854,534969,536232,536270,535664
Hino,166537,167942,176538,180052,186283
Hirakata,400144,402563,404044,407978,404152
Hiratsuka,253822,254633,258958,260780,258227
Hirosaki,194197,193217,189043,183473,177411
Hiroshima,1117117,1134134,1154391,1173843,1194034
Hitachi,212304,206589,199218,193129,185054
Hitachinaka (Katsuta),146750,151673,153639,157060,155689
Ibaraki,258233,260648,267961,274822,280033
Ichihara,277061,278218,280255,280416,274656
Ichikawa,440555,448642,466608,473919,481732
Ichinomiya,353999,362726,371687,378566,380868
Imabari,185435,180627,173983,166532,158114
Isesaki,184420,194393,202447,207221,208814
Itami,188431,192159,192250,196127,196883
Iwaki,360598,360138,354492,342249,350237
Iwata,162667,166002,170899,168625,167210
Izumi,157300,172974,177856,184988,186109
Izumo,172001,173776,173751,171485,171938
J?etsu,212060,211870,208082,203899,196987
Kagoshima,594430,601693,604367,605846,599814
Kakogawa,260567,266170,267100,266937,267435
Kamakura,170329,167583,171158,174314,173019
Kanazawa,453975,456438,454607,462361,465699
Kashiwa,362880,373778,380963,404012,413954
Kasugai,277589,287623,295802,305569,306508
Kasukabe,238598,240924,238506,237171,232709
Kawagoe,323353,330766,333795,342670,350745
Kawaguchi,504618,514545,538434,561506,578112
Kawanishi,144539,153762,157668,156423,156375
Kawasaki,1202820,1249905,1327011,1425512,1475213
Kishiwada,194818,200104,201047,199234,194911
Kitaky?sh? [Kitakyushu],1019598,1011471,993525,976846,961286
K?be,1423792,1493398,1525393,1544200,1537272
K?chi,339864,348979,348990,343393,337190
Kodaira,172946,178623,183796,187035,190005
K?fu,206840,202120,200096,198992,193125
K?riyama,326833,334824,338834,338712,335444
Koshigaya,298253,308307,315792,326313,337498
Kuki,151756,154292,154684,154310,152311
Kumagaya,205605,206446,204675,203180,198742
Kumamoto,708097,720816,727978,734474,740822
Kurashiki,453618,460869,469377,475513,477118
Kure,270179,259224,251003,239973,228552
Kurume,302741,304884,306434,302402,304552
Kushiro,209680,201566,190478,181169,174742
Ky?to,1470902,1474471,1474811,1474015,1475183
Machida,360522,377494,405544,427016,432348
Maebashi,338845,341738,340904,340291,336154
Matsudo,461503,464841,472579,484457,483480
Matsue,206718,211564,210796,208613,206230
Matsumoto,239539,243465,242541,243037,243293
Matsusaka,163131,164504,168973,168017,163863
Matsuyama,497203,508266,514937,517231,514865
Mitaka,165721,171612,177016,186083,186936
Mito,261275,261562,262603,268750,270783
Miyakonoj?,174054,171812,170955,169602,165029
Miyazaki,384391,392178,395593,400583,401138
Morioka,300723,302857,300746,298348,297631
Nagano,387359,387911,386572,381511,377598
Nagaoka,293250,292887,288457,282674,275133
Nagareyama,146245,150527,152641,163984,174373
Nagasaki,487063,470135,455206,443766,429508
Nagoya,2152184,2171557,2215062,2263894,2295638
Naha,301890,301032,312393,315954,319435
Nara,368039,374944,370102,366591,360310
Narashino,152887,154036,158785,164530,167909
Neyagawa,258443,250806,241816,238204,237518
Niigata,796456,808969,813847,811901,810157
Niiza,144726,149511,153305,158777,162122
Nishinomiya,390389,438105,465337,482640,487850
Nishio,158693,159788,163232,165298,167990
Nishit?ky? (Hoya - Tanashi),175073,180885,189735,196511,200012
Noda,152245,151197,151240,155491,153583
Numazu,216470,211559,208005,202304,195633
Obihiro,171715,173030,170580,168057,169327
Odawara,200103,200173,198741,198327,194086
?gaki,161679,161827,162070,161160,159879
?ita,446581,454424,462317,474094,478146
Okayama,663346,674375,696172,709584,719474
Okazaki,332136,345997,363807,372357,381051
?saka [Osaka],2602421,2598774,2628811,2665314,2691185
?ta,203599,210022,213160,216465,219807
?tsu,295574,309793,323719,337634,340973
Oyama,150115,155198,160150,164454,166760
Saga,246674,243076,241361,237506,236372
Sagamihara,646516,681150,701620,717515,720780
"Saitama (Urawa, ?miya, Yono, Iwatsuki)",1078545,1133300,1176314,1222434,1263979
Sakai,840384,829636,830966,841966,839310
Sakura,162624,170934,171246,172183,172739
Sapporo,1757025,1822368,1880863,1913545,1952356
Sasebo,279551,274399,269574,261101,255439
Sayama,162240,161460,158074,155727,152405
Sendai,971297,1008130,1025126,1045986,1082159
Shimonoseki,310717,301097,290693,280947,268517
Shizuoka,738674,729980,723323,716197,704989
S?ka,217930,225018,236316,243855,247034
Suita,342760,347929,353885,355798,374468
Suzuka,179800,186151,193114,199293,196403
Tachikawa,157884,164709,172566,179668,176295
Takamatsu,412626,416680,418125,419429,420748
Takaoka,186827,185682,181229,176061,172125
Takarazuka,202544,213037,219862,225700,224903
Takasaki,353879,358465,364919,371302,370884
Takatsuki,362270,357438,351826,357359,351829
Tochigi,174305,171755,168763,164024,159211
Tokorozawa,320406,330100,336100,341924,340386
Tokushima,268706,268218,267833,264548,258554
T?ky? [Tokyo],7967614,8134688,8489653,8945695,9272740
Tomakomai,169328,172086,172758,173320,172737
Tottori,197959,200744,201740,197449,193717
Toyama,417595,420804,421239,421953,418686
Toyohashi,352982,364856,372479,376665,374765
Toyokawa,172509,176698,181444,181928,182436
Toyonaka,398908,391726,386623,389341,395479
Toyota,383800,395224,412141,421487,422542
Tsu,286519,286521,288538,285746,279886
Tsukuba,182327,191814,200528,214590,226963
Ube,182771,182031,178955,173772,169429
Ueda,164207,166568,163651,159597,156827
Uji,184830,189112,189591,189609,184678
Urayasu,123654,132984,155290,164877,164024
Utsunomiya,477215,487560,502396,511739,518594
Wakayama,393885,386551,375591,370364,364154
Yachiyo,154509,168848,180729,189781,193152
Yamagata,254488,255369,256012,254244,253832
Yamaguchi,193172,197115,199297,196628,197422
Yamato,203933,212761,221220,228186,232922
Yao,276664,274777,273487,271460,268800
Yokkaichi,296623,302102,303845,307766,311031
Yokohama,3307136,3426651,3579628,3688773,3724844
Yokosuka,432193,428645,426178,418325,406586
